city,station,year,month_id,date,value,annual_avg,source_url
Якутск,1.0,2009,1,2009-01-01,4.8,2.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Якутск,3.0,2009,1,2009-01-01,5.0,2.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ярославль,1.0,2009,1,2009-01-01,4.5,2.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ярославль,4.0,2009,1,2009-01-01,3.7,2.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ясная Поляна,1.0,2009,1,2009-01-01,1.3,0.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Благовещенск,2.0,2018,1,2018-01-01,0.18,0.17,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Туймазы,1.0,2018,1,2018-01-01,0.12,0.22,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Салават,1.0,2018,1,2018-01-01,0.44,0.64,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Стерлитамак,2.0,2018,1,2018-01-01,1.5,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Уфа,1.0,2018,1,2018-01-01,1.9,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Арзамаc,1.0,2018,1,2018-01-01,0.11,0.31,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Дзержинск,1.0,2018,1,2018-01-01,0.18,0.41,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Ижевск,6.0,2018,1,2018-01-01,0.25,0.38,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Киров,1.0,2018,1,2018-01-01,0.56,0.78,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Кстово,1.0,2018,1,2018-01-01,0.43,0.38,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Кирово-Чепецк,1.0,2018,1,2018-01-01,0.58,0.86,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Новочебоксарск,1.0,2018,1,2018-01-01,0.24,0.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Саранск,3.0,2018,1,2018-01-01,0.45,0.54,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Чебоксары,3.0,2018,1,2018-01-01,0.35,0.32,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Барнаул,1.0,2018,1,2018-01-01,7.2,3.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
Бердск,7.0,2018,1,2018-01-01,0.48,0.44,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2018.pdf
